ID	NOC	Games	City	Year	Sport	Event	Medal
93	FRA	2008 Summer	Beijing	2008	Handball	Handball Men's Handball	Gold
99	HUN	1992 Summer	Barcelona	1992	Fencing	Fencing Men's Sabre, Team	Silver
100	HUN	1936 Summer	Berlin	1936	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Bronze
103	ITA	1936 Summer	Berlin	1936	Modern Pentathlon	Modern Pentathlon Men's Individual	Bronze
106	ITA	1988 Summer	Seoul	1988	Rowing	Rowing Men's Quadruple Sculls	Gold
106	ITA	1996 Summer	Atlanta	1996	Rowing	Rowing Men's Double Sculls	Gold
106	ITA	2000 Summer	Sydney	2000	Rowing	Rowing Men's Quadruple Sculls	Gold
107	ITA	1984 Summer	Los Angeles	1984	Rowing	Rowing Men's Coxed Pairs	Gold
107	ITA	1988 Summer	Seoul	1988	Rowing	Rowing Men's Coxed Pairs	Gold
107	ITA	1992 Summer	Barcelona	1992	Rowing	Rowing Men's Coxed Pairs	Silver
108	ITA	1984 Summer	Los Angeles	1984	Rowing	Rowing Men's Coxed Pairs	Gold
108	ITA	1988 Summer	Seoul	1988	Rowing	Rowing Men's Coxed Pairs	Gold
108	ITA	1992 Summer	Barcelona	1992	Rowing	Rowing Men's Coxed Pairs	Silver
139	GRE	1906 Summer	Athina	1906	Football	Football Men's Football	Bronze
143	AUS	2008 Summer	Beijing	2008	Hockey	Hockey Men's Hockey	Bronze
150	USA	1900 Summer	Paris	1900	Golf	Golf Women's Individual	Gold
153	USA	2008 Summer	Beijing	2008	Softball	Softball Women's Softball	Silver
165	USA	2004 Summer	Athina	2004	Taekwondo	Taekwondo Women's Featherweight	Silver
250	IRI	2016 Summer	Rio de Janeiro	2016	Wrestling	Wrestling Men's Middleweight, Greco-Roman	Bronze
259	CAN	1984 Summer	Los Angeles	1984	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Bronze
297	PAK	1960 Summer	Roma	1960	Hockey	Hockey Men's Hockey	Gold
298	PAK	1964 Summer	Tokyo	1964	Hockey	Hockey Men's Hockey	Silver
316	URS	1972 Summer	Munich	1972	Wrestling	Wrestling Men's Featherweight, Freestyle	Gold
337	UZB	2000 Summer	Sydney	2000	Boxing	Boxing Men's Light-Welterweight	Gold
339	AZE	1996 Summer	Atlanta	1996	Wrestling	Wrestling Men's Flyweight, Freestyle	Silver
339	AZE	2000 Summer	Sydney	2000	Wrestling	Wrestling Men's Bantamweight, Freestyle	Gold
351	USA	2000 Summer	Sydney	2000	Basketball	Basketball Men's Basketball	Gold
357	TJK	2008 Summer	Beijing	2008	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver
359	EUN	1992 Summer	Barcelona	1992	Athletics	Athletics Men's Hammer Throw	Gold
379	ETH	1992 Summer	Barcelona	1992	Athletics	Athletics Men's 10,000 metres	Bronze
385	SUI	1924 Summer	Paris	1924	Football	Football Men's Football	Silver
394	GDR	1972 Summer	Munich	1972	Gymnastics	Gymnastics Women's Team All-Around	Silver
395	CAN	2012 Summer	London	2012	Diving	Diving Women's Synchronized Springboard	Bronze
399	NOR	1920 Summer	Antwerpen	1920	Sailing	Sailing Mixed 7 metres	Silver
401	ESP	1992 Summer	Barcelona	1992	Football	Football Men's Football	Gold
404	USA	1900 Summer	Paris	1900	Rowing	Rowing Men's Coxed Eights	Gold
404	USA	1904 Summer	St. Louis	1904	Rowing	Rowing Men's Coxed Eights	Gold
411	ETH	2000 Summer	Sydney	2000	Athletics	Athletics Men's Marathon	Gold
416	SWE	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Long Jump	Bronze
416	SWE	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Triple Jump	Silver
423	USA	2000 Summer	Sydney	2000	Baseball	Baseball Men's Baseball	Gold
424	RSA	1956 Summer	Melbourne	1956	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Bronze
428	TUR	2008 Summer	Beijing	2008	Athletics	Athletics Women's 5,000 metres	Silver
443	BUL	1980 Summer	Moskva	1980	Wrestling	Wrestling Men's Middleweight, Freestyle	Gold
454	USA	1932 Summer	Los Angeles	1932	Athletics	Athletics Men's 4 x 400 metres Relay	Gold
455	RUS	2012 Summer	London	2012	Gymnastics	Gymnastics Men's Floor Exercise	Bronze
455	RUS	2012 Summer	London	2012	Gymnastics	Gymnastics Men's Horse Vault	Silver
455	RUS	2016 Summer	Rio de Janeiro	2016	Gymnastics	Gymnastics Men's Team All-Around	Silver
455	RUS	2016 Summer	Rio de Janeiro	2016	Gymnastics	Gymnastics Men's Horse Vault	Silver
455	RUS	2016 Summer	Rio de Janeiro	2016	Gymnastics	Gymnastics Men's Rings	Bronze
460	URS	1972 Summer	Munich	1972	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Silver
460	URS	1972 Summer	Munich	1972	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Bronze
465	AUS	2016 Summer	Rio de Janeiro	2016	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Bronze
495	EGY	2012 Summer	London	2012	Fencing	Fencing Men's Foil, Individual	Silver
507	HUN	1988 Summer	Seoul	1988	Canoeing	Canoeing Men's Kayak Doubles, 500 metres	Bronze
507	HUN	1988 Summer	Seoul	1988	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
507	HUN	1992 Summer	Barcelona	1992	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Silver
509	GBR	1980 Summer	Moskva	1980	Swimming	Swimming Men's 4 x 100 metres Medley Relay	Bronze
514	SWE	2004 Summer	Athina	2004	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	Silver
519	GBR	1924 Summer	Paris	1924	Athletics	Athletics Men's 100 metres	Gold
519	GBR	1924 Summer	Paris	1924	Athletics	Athletics Men's 4 x 100 metres Relay	Silver
521	NOR	1912 Summer	Stockholm	1912	Gymnastics	Gymnastics Men's Team All-Around, Free System	Gold
527	SWE	1920 Summer	Antwerpen	1920	Athletics	Athletics Men's Long Jump	Bronze
543	RUS	2004 Summer	Athina	2004	Volleyball	Volleyball Men's Volleyball	Bronze
547	URS	1964 Summer	Tokyo	1964	Volleyball	Volleyball Women's Volleyball	Silver
576	ESP	2016 Summer	Rio de Janeiro	2016	Basketball	Basketball Men's Basketball	Bronze
580	RUS	2008 Summer	Beijing	2008	Basketball	Basketball Women's Basketball	Bronze
582	URS	1980 Summer	Moskva	1980	Wrestling	Wrestling Men's Lightweight, Freestyle	Gold
583	FRA	2004 Summer	Athina	2004	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold
583	FRA	2008 Summer	Beijing	2008	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold
608	JOR	2016 Summer	Rio de Janeiro	2016	Taekwondo	Taekwondo Men's Featherweight	Gold
610	JPN	1964 Summer	Tokyo	1964	Gymnastics	Gymnastics Women's Team All-Around	Bronze
618	URS	1980 Summer	Moskva	1980	Fencing	Fencing Men's epee, Team	Bronze
619	URS	1980 Summer	Moskva	1980	Wrestling	Wrestling Men's Featherweight, Freestyle	Gold
627	ROU	2008 Summer	Beijing	2008	Gymnastics	Gymnastics Women's Team All-Around	Bronze
629	FRA	2012 Summer	London	2012	Handball	Handball Men's Handball	Gold
639	ESP	1920 Summer	Antwerpen	1920	Football	Football Men's Football	Silver
646	PUR	1992 Summer	Barcelona	1992	Boxing	Boxing Men's Welterweight	Bronze
654	MEX	1984 Summer	Los Angeles	1984	Wrestling	Wrestling Men's Flyweight, Greco-Roman	Silver
669	GHA	1992 Summer	Barcelona	1992	Football	Football Men's Football	Bronze
670	SUI	1984 Summer	Los Angeles	1984	Cycling	Cycling Men's 100 kilometres Team Time Trial	Silver
673	MAR	1988 Summer	Seoul	1988	Boxing	Boxing Men's Featherweight	Bronze
674	MAR	1992 Summer	Barcelona	1992	Boxing	Boxing Men's Bantamweight	Bronze
690	NED	2012 Summer	London	2012	Rowing	Rowing Women's Coxed Eights	Bronze
690	NED	2016 Summer	Rio de Janeiro	2016	Rowing	Rowing Women's Quadruple Sculls	Silver
697	SWE	1920 Summer	Antwerpen	1920	Gymnastics	Gymnastics Men's Team All-Around, Swedish System	Gold
698	NZL	1976 Summer	Montreal	1976	Hockey	Hockey Men's Hockey	Gold
699	USA	1920 Summer	Antwerpen	1920	Wrestling	Wrestling Men's Featherweight, Freestyle	Gold
716	ARG	2008 Summer	Beijing	2008	Football	Football Men's Football	Gold
723	CUB	2008 Summer	Beijing	2008	Boxing	Boxing Men's Heavyweight	Bronze
727	URU	1952 Summer	Helsinki	1952	Basketball	Basketball Men's Basketball	Bronze
745	POL	1980 Summer	Moskva	1980	Boxing	Boxing Men's Lightweight	Bronze
762	USA	1936 Summer	Berlin	1936	Rowing	Rowing Men's Coxed Eights	Gold
766	TCH	1976 Summer	Montreal	1976	Modern Pentathlon	Modern Pentathlon Men's Team	Silver
775	GER	1936 Summer	Berlin	1936	Fencing	Fencing Men's Foil, Team	Bronze
777	FRA	1948 Summer	London	1948	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Gold
785	POL	1992 Summer	Barcelona	1992	Football	Football Men's Football	Silver
807	USA	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Standing High Jump	Silver
807	USA	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Standing Long Jump	Bronze
813	USA	1904 Summer	St. Louis	1904	Swimming	Swimming Men's Plunge For Distance	Silver
818	USA	1912 Summer	Stockholm	1912	Shooting	Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team	Gold
830	GBR	1980 Summer	Moskva	1980	Judo	Judo Men's Lightweight	Silver
830	GBR	1984 Summer	Los Angeles	1984	Judo	Judo Men's Half-Middleweight	Silver
832	GBR	2012 Summer	London	2012	Boxing	Boxing Women's Flyweight	Gold
832	GBR	2016 Summer	Rio de Janeiro	2016	Boxing	Boxing Women's Flyweight	Gold
836	USA	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Standing High Jump	Gold
836	USA	1912 Summer	Stockholm	1912	Athletics	Athletics Men's Standing Long Jump	Silver
837	USA	2016 Summer	Rio de Janeiro	2016	Volleyball	Volleyball Women's Volleyball	Bronze
846	NZL	2008 Summer	Beijing	2008	Athletics	Athletics Women's Shot Put	Gold
846	NZL	2012 Summer	London	2012	Athletics	Athletics Women's Shot Put	Gold
846	NZL	2016 Summer	Rio de Janeiro	2016	Athletics	Athletics Women's Shot Put	Silver
849	GER	2012 Summer	London	2012	Rowing	Rowing Men's Coxed Eights	Gold
850	GER	1936 Summer	Berlin	1936	Rowing	Rowing Men's Coxed Pairs	Gold
851	POL	1960 Summer	Roma	1960	Boxing	Boxing Men's Featherweight	Silver
882	GHA	1992 Summer	Barcelona	1992	Football	Football Men's Football	Bronze
884	SUI	1920 Summer	Antwerpen	1920	Shooting	Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team	Bronze
896	NGR	2008 Summer	Beijing	2008	Football	Football Men's Football	Silver
908	NGR	2008 Summer	Beijing	2008	Football	Football Men's Football	Silver
918	BRA	1984 Summer	Los Angeles	1984	Football	Football Men's Football	Silver
918	BRA	1988 Summer	Seoul	1988	Football	Football Men's Football	Silver
923	NGR	1992 Summer	Barcelona	1992	Athletics	Athletics Men's 4 x 100 metres Relay	Silver
925	BRA	2012 Summer	London	2012	Volleyball	Volleyball Women's Volleyball	Gold
953	FRA	1992 Summer	Barcelona	1992	Canoeing	Canoeing Men's Canadian Doubles, Slalom	Bronze
953	FRA	1996 Summer	Atlanta	1996	Canoeing	Canoeing Men's Canadian Doubles, Slalom	Gold
957	GHA	1992 Summer	Barcelona	1992	Football	Football Men's Football	Bronze
962	USA	1952 Summer	Helsinki	1952	Boxing	Boxing Men's Light-Welterweight	Gold
963	USA	1996 Summer	Atlanta	1996	Athletics	Athletics Men's 400 metres Hurdles	Gold
964	GBR	1948 Summer	London	1948	Hockey	Hockey Men's Hockey	Silver
966	BRA	1984 Summer	Los Angeles	1984	Sailing	Sailing Mixed Three Person Keelboat	Silver
967	GER	1960 Summer	Roma	1960	Cycling	Cycling Men's 100 kilometres Team Time Trial	Silver
968	AUT	1912 Summer	Stockholm	1912	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Bronze
973	SWE	1936 Summer	Berlin	1936	Equestrianism	Equestrianism Men's Dressage, Team	Bronze
974	SWE	1912 Summer	Stockholm	1912	Equestrianism	Equestrianism Men's Three-Day Event, Team	Gold
975	SWE	1908 Summer	London	1908	Tennis	Tennis Women's Singles, Covered Courts	Bronze
977	SWE	1912 Summer	Stockholm	1912	Diving	Diving Men's Platform	Gold
977	SWE	1912 Summer	Stockholm	1912	Diving	Diving Men's Plain High	Gold
977	SWE	1920 Summer	Antwerpen	1920	Diving	Diving Men's Platform	Silver
980	GBR	2008 Summer	Beijing	2008	Swimming	Swimming Women's 400 metres Freestyle	Gold
980	GBR	2008 Summer	Beijing	2008	Swimming	Swimming Women's 800 metres Freestyle	Gold
980	GBR	2012 Summer	London	2012	Swimming	Swimming Women's 400 metres Freestyle	Bronze
980	GBR	2012 Summer	London	2012	Swimming	Swimming Women's 800 metres Freestyle	Bronze
1000	LTU	2000 Summer	Sydney	2000	Basketball	Basketball Men's Basketball	Bronze
1017	USA	2008 Summer	Beijing	2008	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
1017	USA	2012 Summer	London	2012	Swimming	Swimming Men's 100 metres Freestyle	Gold
1017	USA	2012 Summer	London	2012	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Silver
1017	USA	2012 Summer	London	2012	Swimming	Swimming Men's 4 x 100 metres Medley Relay	Gold
1017	USA	2016 Summer	Rio de Janeiro	2016	Swimming	Swimming Men's 50 metres Freestyle	Bronze
1017	USA	2016 Summer	Rio de Janeiro	2016	Swimming	Swimming Men's 100 metres Freestyle	Bronze
1017	USA	2016 Summer	Rio de Janeiro	2016	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
1017	USA	2016 Summer	Rio de Janeiro	2016	Swimming	Swimming Men's 4 x 100 metres Medley Relay	Gold
1020	BRA	1996 Summer	Atlanta	1996	Basketball	Basketball Women's Basketball	Silver
1020	BRA	2000 Summer	Sydney	2000	Basketball	Basketball Women's Basketball	Bronze
1023	BRA	2000 Summer	Sydney	2000	Basketball	Basketball Women's Basketball	Bronze
1025	HUN	1996 Summer	Atlanta	1996	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Silver
1046	GER	1964 Summer	Tokyo	1964	Rowing	Rowing Men's Coxed Eights	Silver
1071	RUS	2012 Summer	London	2012	Gymnastics	Gymnastics Women's Team All-Around	Silver
1088	NGR	1996 Summer	Atlanta	1996	Athletics	Athletics Women's 4 x 400 metres Relay	Silver
1094	ROU	1976 Summer	Montreal	1976	Rowing	Rowing Women's Coxed Quadruple Sculls	Bronze
1095	RSA	2016 Summer	Rio de Janeiro	2016	Rugby Sevens	Rugby Sevens Men's Rugby Sevens	Bronze
1104	PAK	1964 Summer	Tokyo	1964	Hockey	Hockey Men's Hockey	Silver
1107	RSA	2016 Summer	Rio de Janeiro	2016	Rugby Sevens	Rugby Sevens Men's Rugby Sevens	Bronze
1109	ROU	1984 Summer	Los Angeles	1984	Gymnastics	Gymnastics Women's Team All-Around	Gold
1109	ROU	1984 Summer	Los Angeles	1984	Gymnastics	Gymnastics Women's Horse Vault	Bronze
1114	ITA	2004 Summer	Athina	2004	Rowing	Rowing Men's Coxless Fours	Bronze
1114	ITA	2008 Summer	Beijing	2008	Rowing	Rowing Men's Quadruple Sculls	Silver
1122	USA	1996 Summer	Atlanta	1996	Tennis	Tennis Men's Singles	Gold
1131	FRA	2016 Summer	Rio de Janeiro	2016	Judo	Judo Women's Half-Middleweight	Silver
1144	NOR	1920 Summer	Antwerpen	1920	Sailing	Sailing Mixed 6 metres	Bronze
1147	URS	1956 Summer	Melbourne	1956	Water Polo	Water Polo Men's Water Polo	Bronze
1147	URS	1960 Summer	Roma	1960	Water Polo	Water Polo Men's Water Polo	Silver
1147	URS	1964 Summer	Tokyo	1964	Water Polo	Water Polo Men's Water Polo	Bronze
1169	NED	2008 Summer	Beijing	2008	Hockey	Hockey Women's Hockey	Gold
1169	NED	2012 Summer	London	2012	Hockey	Hockey Women's Hockey	Gold
1173	FRA	2012 Summer	London	2012	Swimming	Swimming Men's 200 metres Freestyle	Gold
1173	FRA	2012 Summer	London	2012	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
1173	FRA	2012 Summer	London	2012	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Silver
1191	HUN	1964 Summer	Tokyo	1964	Fencing	Fencing Women's Foil, Team	Gold
1192	ITA	1928 Summer	Amsterdam	1928	Fencing	Fencing Men's epee, Team	Gold
1192	ITA	1932 Summer	Los Angeles	1932	Fencing	Fencing Men's epee, Individual	Bronze
1192	ITA	1932 Summer	Los Angeles	1932	Fencing	Fencing Men's epee, Team	Silver
1192	ITA	1948 Summer	London	1948	Fencing	Fencing Men's epee, Team	Silver
1201	SWE	1936 Summer	Berlin	1936	Boxing	Boxing Men's Lightweight	Bronze
1208	GRE	1906 Summer	Athina	1906	Rowing	Rowing Men's 17-Man Naval Rowing Boats	Gold
1211	NED	1928 Summer	Amsterdam	1928	Gymnastics	Gymnastics Women's Team All-Around	Gold
1220	ARG	2008 Summer	Beijing	2008	Football	Football Men's Football	Gold
1221	CUB	2000 Summer	Sydney	2000	Volleyball	Volleyball Women's Volleyball	Gold
1249	CUB	1980 Summer	Moskva	1980	Boxing	Boxing Men's Light-Welterweight	Bronze
1254	ESP	2012 Summer	London	2012	Handball	Handball Women's Handball	Bronze
1262	ESP	2016 Summer	Rio de Janeiro	2016	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Silver
1270	CUB	1992 Summer	Barcelona	1992	Athletics	Athletics Men's 4 x 100 metres Relay	Bronze
1301	INA	2016 Summer	Rio de Janeiro	2016	Weightlifting	Weightlifting Women's Flyweight	Silver
1313	USA	2008 Summer	Beijing	2008	Volleyball	Volleyball Women's Volleyball	Silver
1323	GBR	1908 Summer	London	1908	Athletics	Athletics Men's Triple Jump	Gold
1333	FIN	1932 Summer	Los Angeles	1932	Boxing	Boxing Men's Welterweight	Bronze
1346	FIN	1924 Summer	Paris	1924	Wrestling	Wrestling Men's Bantamweight, Greco-Roman	Silver
1348	SWE	1912 Summer	Stockholm	1912	Wrestling	Wrestling Men's Middleweight B, Greco-Roman	Silver
1350	USA	1948 Summer	London	1948	Rowing	Rowing Men's Coxed Eights	Gold
1356	GER	2004 Summer	Athina	2004	Equestrianism	Equestrianism Mixed Jumping, Team	Bronze
1356	GER	2016 Summer	Rio de Janeiro	2016	Equestrianism	Equestrianism Mixed Jumping, Team	Bronze
1359	SWE	1932 Summer	Los Angeles	1932	Boxing	Boxing Men's Lightweight	Silver
1364	SWE	1952 Summer	Helsinki	1952	Football	Football Men's Football	Bronze
1374	INA	2016 Summer	Rio de Janeiro	2016	Badminton	Badminton Mixed Doubles	Gold
1378	SWE	1948 Summer	London	1948	Athletics	Athletics Men's Triple Jump	Gold
1379	GER	2000 Summer	Sydney	2000	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	Bronze
1380	USA	1992 Summer	Barcelona	1992	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Gold
1380	USA	1992 Summer	Barcelona	1992	Swimming	Swimming Women's 100 metres Butterfly	Silver
1380	USA	1992 Summer	Barcelona	1992	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Gold
1386	PAK	1992 Summer	Barcelona	1992	Hockey	Hockey Men's Hockey	Bronze
1389	PAK	1968 Summer	Mexico City	1968	Hockey	Hockey Men's Hockey	Gold
1391	PAK	1960 Summer	Roma	1960	Hockey	Hockey Men's Hockey	Gold
1400	PAK	1984 Summer	Los Angeles	1984	Hockey	Hockey Men's Hockey	Gold
1402	PAK	1992 Summer	Barcelona	1992	Hockey	Hockey Men's Hockey	Bronze
1408	PAK	1984 Summer	Los Angeles	1984	Hockey	Hockey Men's Hockey	Gold
1409	PAK	1960 Summer	Roma	1960	Hockey	Hockey Men's Hockey	Gold
1412	PAK	1968 Summer	Mexico City	1968	Hockey	Hockey Men's Hockey	Gold
1412	PAK	1972 Summer	Munich	1972	Hockey	Hockey Men's Hockey	Silver
1414	PAK	1992 Summer	Barcelona	1992	Hockey	Hockey Men's Hockey	Bronze
1424	FIN	1912 Summer	Stockholm	1912	Sailing	Sailing Mixed 8 metres	Bronze
1442	GER	1964 Summer	Tokyo	1964	Sailing	Sailing Mixed Three Person Keelboat	Silver
1443	GDR	1976 Summer	Montreal	1976	Rowing	Rowing Women's Coxed Eights	Gold
1444	USA	2004 Summer	Athina	2004	Rowing	Rowing Men's Coxed Eights	Gold
1447	CHI	1956 Summer	Melbourne	1956	Athletics	Athletics Women's Javelin Throw	Silver
1449	GER	1964 Summer	Tokyo	1964	Rowing	Rowing Men's Coxed Eights	Silver
1466	ITA	2012 Summer	London	2012	Water Polo	Water Polo Men's Water Polo	Silver
1466	ITA	2016 Summer	Rio de Janeiro	2016	Water Polo	Water Polo Men's Water Polo	Bronze
1467	ARG	2000 Summer	Sydney	2000	Hockey	Hockey Women's Hockey	Silver
1467	ARG	2004 Summer	Athina	2004	Hockey	Hockey Women's Hockey	Bronze
1467	ARG	2008 Summer	Beijing	2008	Hockey	Hockey Women's Hockey	Bronze
1478	ITA	2016 Summer	Rio de Janeiro	2016	Water Polo	Water Polo Women's Water Polo	Silver
1480	AUT	1924 Summer	Paris	1924	Weightlifting	Weightlifting Men's Heavyweight	Silver
1481	GER	2012 Summer	London	2012	Canoeing	Canoeing Men's Kayak Singles, Slalom	Bronze
1483	JPN	1956 Summer	Melbourne	1956	Gymnastics	Gymnastics Men's Team All-Around	Silver
1483	JPN	1956 Summer	Melbourne	1956	Gymnastics	Gymnastics Men's Floor Exercise	Silver
1483	JPN	1960 Summer	Roma	1960	Gymnastics	Gymnastics Men's Team All-Around	Gold
1483	JPN	1960 Summer	Roma	1960	Gymnastics	Gymnastics Men's Floor Exercise	Gold
1485	JPN	1992 Summer	Barcelona	1992	Gymnastics	Gymnastics Men's Team All-Around	Bronze
1487	JPN	2004 Summer	Athina	2004	Baseball	Baseball Men's Baseball	Bronze
1489	AUS	1956 Summer	Melbourne	1956	Rowing	Rowing Men's Coxed Eights	Bronze
1498	GBR	1996 Summer	Atlanta	1996	Sailing	Sailing Mixed One Person Dinghy	Silver
1498	GBR	2000 Summer	Sydney	2000	Sailing	Sailing Mixed One Person Dinghy	Gold
1498	GBR	2004 Summer	Athina	2004	Sailing	Sailing Men's One Person Dinghy	Gold
1498	GBR	2008 Summer	Beijing	2008	Sailing	Sailing Mixed One Person Dinghy	Gold
1498	GBR	2012 Summer	London	2012	Sailing	Sailing Men's One Person Heavyweight Dinghy	Gold
1500	USA	2000 Summer	Sydney	2000	Baseball	Baseball Men's Baseball	Gold
1503	GBR	1920 Summer	Antwerpen	1920	Athletics	Athletics Men's 4 x 400 metres Relay	Gold
1512	GBR	1968 Summer	Mexico City	1968	Sailing	Sailing Mixed 5.5 metres	Bronze
1530	CAN	1936 Summer	Berlin	1936	Basketball	Basketball Men's Basketball	Silver
1531	GBR	1912 Summer	Stockholm	1912	Tennis	Tennis Mixed Doubles, Covered Courts	Silver
1534	AUS	1992 Summer	Barcelona	1992	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Silver
1534	AUS	1996 Summer	Atlanta	1996	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Bronze
1534	AUS	2000 Summer	Sydney	2000	Cycling	Cycling Men's Madison	Gold
1538	FRA	1900 Summer	Paris	1900	Rugby	Rugby Men's Rugby	Gold
1540	UKR	2008 Summer	Beijing	2008	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	Gold
1546	GRE	2000 Summer	Sydney	2000	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Bronze
1551	NGR	2016 Summer	Rio de Janeiro	2016	Football	Football Men's Football	Bronze
1554	CUB	1992 Summer	Barcelona	1992	Baseball	Baseball Men's Baseball	Gold
1554	CUB	1996 Summer	Atlanta	1996	Baseball	Baseball Men's Baseball	Gold
1554	CUB	2000 Summer	Sydney	2000	Baseball	Baseball Men's Baseball	Silver
1556	NGR	2008 Summer	Beijing	2008	Football	Football Men's Football	Silver
1561	CAN	2016 Summer	Rio de Janeiro	2016	Athletics	Athletics Men's 4 x 100 metres Relay	Bronze
1564	NGR	1996 Summer	Atlanta	1996	Athletics	Athletics Women's Long Jump	Gold
1569	GBR	1984 Summer	Los Angeles	1984	Athletics	Athletics Men's 4 x 400 metres Relay	Silver
1569	GBR	1992 Summer	Barcelona	1992	Athletics	Athletics Men's 400 metres Hurdles	Bronze
1569	GBR	1992 Summer	Barcelona	1992	Athletics	Athletics Men's 4 x 400 metres Relay	Bronze
