Name	NOC	City	Year	Sport	Event	Medal
Thomas Valter hln	SWE	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Janne Petteri Ahonen	FIN	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Janne Petteri Ahonen	FIN	Torino	2006	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Hans Aichele	SUI	Garmisch-Partenkirchen	1936	Bobsleigh	Bobsleigh Men's Four	Silver
Yuichi Akasaka	JPN	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
Albina Khamitovna Akhatova	RUS	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Silver
Albina Khamitovna Akhatova	RUS	Salt Lake City	2002	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Bronze
Albina Khamitovna Akhatova	RUS	Torino	2006	Biathlon	Biathlon Women's 10 kilometres Pursuit	Bronze
Albina Khamitovna Akhatova	RUS	Torino	2006	Biathlon	Biathlon Women's 15 kilometres	Bronze
Albina Khamitovna Akhatova	RUS	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Gold
Mika Antero Alatalo	FIN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Toimi Johannes Alatalo	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Marco Albarello	ITA	Albertville	1992	Cross Country Skiing	Cross Country Skiing Men's 10 kilometres	Silver
Marco Albarello	ITA	Albertville	1992	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Marco Albarello	ITA	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Men's 10 kilometres	Bronze
Marco Albarello	ITA	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Marco Albarello	ITA	Nagano	1998	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Sylvia Albrecht (-Heckendorf)	GDR	Lake Placid	1980	Speed Skating	Speed Skating Women's 1,000 metres	Bronze
Brigitte Albrecht-Loretan	SUI	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Tenley Emma Albright (-Gardiner, -Blakely)	USA	Oslo	1952	Figure Skating	Figure Skating Women's Singles	Silver
Tenley Emma Albright (-Gardiner, -Blakely)	USA	Cortina d'Ampezzo	1956	Figure Skating	Figure Skating Women's Singles	Gold
Boris Viktorovich Aleksandrov	URS	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Veniamin Veniaminovich Aleksandrov	URS	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Veniamin Veniaminovich Aleksandrov	URS	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Veniamin Veniaminovich Aleksandrov	URS	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Vladimir Petrovich Aleksandrov	URS	Sarajevo	1984	Bobsleigh	Bobsleigh Men's Two	Bronze
Hans Daniel Alfredsson	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Hans Daniel Alfredsson	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Ulf Hkan Gran Algotsson	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Vladimir Aleksandrovich Alikin	URS	Lake Placid	1980	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Vladimir Aleksandrovich Alikin	URS	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Yuliya Yakunovna Allagulova	EUN	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Bronze
mile Allais	FRA	Garmisch-Partenkirchen	1936	Alpine Skiing	Alpine Skiing Men's Combined	Bronze
Olivier Allamand	FRA	Albertville	1992	Freestyle Skiing	Freestyle Skiing Men's Moguls	Silver
Scott Ethan ""Scotty"" Allen	USA	Innsbruck	1964	Figure Skating	Figure Skating Men's Singles	Bronze
sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Aleksandr Davletovich Almetov	URS	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Aleksandr Davletovich Almetov	URS	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Gte Augustin Almqvist	SWE	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Thomas Alsgaard (Alsgrd-)	NOR	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Gold
Thomas Alsgaard (Alsgrd-)	NOR	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Thomas Alsgaard (Alsgrd-)	NOR	Nagano	1998	Cross Country Skiing	Cross Country Skiing Men's 10/15 kilometres Pursuit	Gold
Thomas Alsgaard (Alsgrd-)	NOR	Nagano	1998	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Thomas Alsgaard (Alsgrd-)	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 10/10 kilometres Pursuit	Gold
Thomas Alsgaard (Alsgrd-)	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Robert Alt	SUI	Cortina d'Ampezzo	1956	Bobsleigh	Bobsleigh Men's Four	Gold
Livia Altmann	SUI	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Jeannette Eleanor Altwegg (-Wirz)	GBR	Sankt Moritz	1948	Figure Skating	Figure Skating Women's Singles	Bronze
Jeannette Eleanor Altwegg (-Wirz)	GBR	Oslo	1952	Figure Skating	Figure Skating Women's Singles	Gold
Eduardo C. ""Eddy"" Alvarez	USA	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Renzo Alver	ITA	Cortina d'Ampezzo	1956	Bobsleigh	Bobsleigh Men's Two	Silver
Renzo Alver	ITA	Cortina d'Ampezzo	1956	Bobsleigh	Bobsleigh Men's Four	Silver
Anatoly Nikolayevich Alyabyev	URS	Lake Placid	1980	Biathlon	Biathlon Men's 10 kilometres Sprint	Bronze
Anatoly Nikolayevich Alyabyev	URS	Lake Placid	1980	Biathlon	Biathlon Men's 20 kilometres	Gold
Anatoly Nikolayevich Alyabyev	URS	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ivan Vladimirovich Alypov	RUS	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's Team Sprint	Bronze
Ingrda Amantova	URS	Lake Placid	1980	Luge	Luge Women's Singles	Bronze
Sbastien Amiez	FRA	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Simon Ammann	SUI	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Simon Ammann	SUI	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Gold
Simon Ammann	SUI	Vancouver	2010	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Simon Ammann	SUI	Vancouver	2010	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Gold
Anthony Lewis ""Tony"" Amonte	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Zinaida Stepanovna Amosova (Shishkina-)	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
An Sang-Mi	KOR	Nagano	1998	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Gold
Viktor An	KOR	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 500 metres	Bronze
Viktor An	KOR	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 1,000 metres	Gold
Viktor An	KOR	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 1,500 metres	Gold
Viktor An	KOR	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Viktor An	RUS	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 500 metres	Gold
Viktor An	RUS	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 1,000 metres	Gold
Viktor An	RUS	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 1,500 metres	Bronze
Viktor An	RUS	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
An Yulong	CHN	Nagano	1998	Short Track Speed Skating	Short Track Speed Skating Men's 500 metres	Silver
An Yulong	CHN	Nagano	1998	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
An Yulong	CHN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
Douglas Thomas ""Doug"" Anakin	CAN	Innsbruck	1964	Bobsleigh	Bobsleigh Men's Four	Gold
Stefan ""Steve"" Anderhub	SUI	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Two	Silver
Alf Steen Andersen	NOR	Sankt Moritz	1928	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Hjalmar Johan Andersen	NOR	Oslo	1952	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Hjalmar Johan Andersen	NOR	Oslo	1952	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Hjalmar Johan Andersen	NOR	Oslo	1952	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Reidar Andersen	NOR	Garmisch-Partenkirchen	1936	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Bronze
Terje Andersen	NOR	Lake Placid	1980	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Jamie Louise Anderson	USA	Sochi	2014	Snowboarding	Snowboarding Women's Slopestyle	Gold
Jasey-Jay Anderson	CAN	Vancouver	2010	Snowboarding	Snowboarding Men's Parallel Giant Slalom	Gold
Osborne ""Ty"" Anderson	USA	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Wendell Richard Anderson	USA	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
William Harding Anderson	GBR	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
ke Gustav Andersson	SWE	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
ke Anders Andersson	SWE	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Anna Christina Andersson	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Bjarne Lennart Andersson	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Cecilia Christine Elisabeth Andersson	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Gunilla Victoria Andersson	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Gunilla Victoria Andersson	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Bo Leif Andersson	SWE	Albertville	1992	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Lina Marie Andersson	SWE	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Gold
Bo Mikael Andersson	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Nils Peter Andersson	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Karl Sigurd Andersson	SWE	Oslo	1952	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Carl Sture Mikael Andersson	SWE	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Karl Volger Andersson	SWE	Sankt Moritz	1928	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Hans Lennart Andersson-Tvilling	SWE	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Stig Gunnar Andersson-Tvilling	SWE	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Carola Anding (-Jacob)	GDR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Georges Jules Andr	FRA	Chamonix	1924	Curling	Curling Men's Curling	Bronze
Gunn Margit Aas Andreassen	NOR	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Bronze
Gunn Margit Aas Andreassen	NOR	Salt Lake City	2002	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Silver
Giannin ""Gian"" Andreossi	SUI	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Munrezzan ""Mezzi"" Andreossi	SUI	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Dominic Andres	SUI	Nagano	1998	Curling	Curling Men's Curling	Gold
Frode Andresen	NOR	Nagano	1998	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Frode Andresen	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Frode Andresen	NOR	Torino	2006	Biathlon	Biathlon Men's 10 kilometres Sprint	Bronze
Scott Andrews	GBR	Sochi	2014	Curling	Curling Men's Curling	Silver
Matteo Anesi	ITA	Torino	2006	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Gold
Peter Angerer	FRG	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Peter Angerer	FRG	Sarajevo	1984	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Peter Angerer	FRG	Sarajevo	1984	Biathlon	Biathlon Men's 20 kilometres	Gold
Peter Angerer	FRG	Sarajevo	1984	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Peter Angerer	FRG	Calgary	1988	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Tobias Angerer	GER	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Tobias Angerer	GER	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Bronze
Tobias Angerer	GER	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Tobias Angerer	GER	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 30 km Skiathlon	Silver
Heinrich ""Heiri"" Angst	SUI	Cortina d'Ampezzo	1956	Bobsleigh	Bobsleigh Men's Four	Gold
Max Angst	SUI	Cortina d'Ampezzo	1956	Bobsleigh	Bobsleigh Men's Two	Bronze
Nikolay Petrovich Anikin	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Nikolay Petrovich Anikin	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Bronze
Nikolay Petrovich Anikin	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Marina Vyacheslavovna Anissina (-Dzhigurda)	FRA	Nagano	1998	Figure Skating	Figure Skating Mixed Ice Dancing	Bronze
Marina Vyacheslavovna Anissina (-Dzhigurda)	FRA	Salt Lake City	2002	Figure Skating	Figure Skating Mixed Ice Dancing	Gold
Martin Annen	SUI	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Two	Bronze
Martin Annen	SUI	Torino	2006	Bobsleigh	Bobsleigh Men's Two	Bronze
Martin Annen	SUI	Torino	2006	Bobsleigh	Bobsleigh Men's Four	Bronze
Daniela Anschtz-Thoms	GER	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Gold
Daniela Anschtz-Thoms	GER	Vancouver	2010	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Gold
Dana Antal	CAN	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Dborah Jessica Anthonioz	FRA	Vancouver	2010	Snowboarding	Snowboarding Women's Boardercross	Silver
Matthew ""Matt"" Antoine	USA	Sochi	2014	Skeleton	Skeleton Men's Skeleton	Bronze
Michele Antonioli	ITA	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Vladislav Nikolayevich Antonov	RUS	Sochi	2014	Luge	Luge Mixed Team Relay	Silver
Ants Antson	URS	Innsbruck	1964	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Seiji Aochi	JPN	Sapporo	1972	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Bronze
Katrin Apel	GER	Nagano	1998	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Bronze
Katrin Apel	GER	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Gold
Katrin Apel	GER	Salt Lake City	2002	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Gold
Katrin Apel	GER	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Silver
Knut Tore Apeland	NOR	Albertville	1992	Nordic Combined	Nordic Combined Men's Team	Silver
Knut Tore Apeland	NOR	Lillehammer	1994	Nordic Combined	Nordic Combined Men's Team	Silver
Ingo Appelt	AUT	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Gold
Gillian Mary Apps	CAN	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Gillian Mary Apps	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Gillian Mary Apps	CAN	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Shizuka Arakawa	JPN	Torino	2006	Figure Skating	Figure Skating Women's Singles	Gold
Alexander ""Sandy"" Archer	GBR	Garmisch-Partenkirchen	1936	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
David John ""Dave"" Archibald	CAN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Tobias Arlt	GER	Sochi	2014	Luge	Luge Mixed (Men)'s Doubles	Gold
Tobias Arlt	GER	Sochi	2014	Luge	Luge Mixed Team Relay	Gold
Mario Armano	ITA	Grenoble	1968	Bobsleigh	Bobsleigh Men's Four	Gold
Debra Rae ""Debbie"" Armstrong	USA	Sarajevo	1984	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Thomas Alfred Arnold	GBR	Chamonix	1924	Bobsleigh	Bobsleigh Men's Four/Five	Silver
Skinnar Lars-Gran Arwidson	SWE	Grenoble	1968	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Skinnar Lars-Gran Arwidson	SWE	Sapporo	1972	Biathlon	Biathlon Men's 20 kilometres	Bronze
Mao Asada	JPN	Vancouver	2010	Figure Skating	Figure Skating Women's Singles	Silver
Hans-Georg Aschenbach	GDR	Innsbruck	1976	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Hansjrg Aschenwald	AUT	Calgary	1988	Nordic Combined	Nordic Combined Men's Team	Bronze
Jeanne Chesley Ashworth (-Walker-)	USA	Squaw Valley	1960	Speed Skating	Speed Skating Women's 500 metres	Bronze
Karl Peter slin	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Karl-ke Asph	SWE	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Carl-Erik Asplund	SWE	Oslo	1952	Speed Skating	Speed Skating Men's 10,000 metres	Bronze
Jenni Anna Christina Asserholt	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Mark Astley	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
James Neil ""Jim"" Atkinson	USA	Oslo	1952	Bobsleigh	Bobsleigh Men's Four	Silver
Robert Allan ""Bob"" Attersley	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Paul Jason Attwood	GBR	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Bronze
Susan Margaret Auch	CAN	Lillehammer	1994	Speed Skating	Speed Skating Women's 500 metres	Silver
Susan Margaret Auch	CAN	Nagano	1998	Speed Skating	Speed Skating Women's 500 metres	Silver
Adrian Mark Aucoin	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Gordon Vernon Audley	CAN	Oslo	1952	Speed Skating	Speed Skating Men's 500 metres	Bronze
Alfred Aufdenblatten	SUI	Chamonix	1924	Military Ski Patrol	Military Ski Patrol Men's Military Ski Patrol	Gold
Inger Reidun Aufles (Dving-)	NOR	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Inger Reidun Aufles (Dving-)	NOR	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Gold
Inger Reidun Aufles (Dving-)	NOR	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Josef Augusta	TCH	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Patrik Augusta	TCH	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Klaus Auhuber	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Anders Aukland	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Ove Robert Aunli	NOR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Bronze
Ove Robert Aunli	NOR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Berit Kristine Aunli-Kvello	NOR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Berit Kristine Aunli-Kvello	NOR	Sarajevo	1984	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Silver
Berit Kristine Aunli-Kvello	NOR	Sarajevo	1984	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Walter Auerdorfer	ITA	Innsbruck	1964	Luge	Luge Mixed (Men)'s Doubles	Bronze
Ilya Izyaslavovich Averbukh	RUS	Salt Lake City	2002	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Tatyana Borisovna Averina-Barabash	URS	Innsbruck	1976	Speed Skating	Speed Skating Women's 500 metres	Bronze
Tatyana Borisovna Averina-Barabash	URS	Innsbruck	1976	Speed Skating	Speed Skating Women's 1,000 metres	Gold
Tatyana Borisovna Averina-Barabash	URS	Innsbruck	1976	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
Tatyana Borisovna Averina-Barabash	URS	Innsbruck	1976	Speed Skating	Speed Skating Women's 3,000 metres	Gold
Anders Per-Johan Axelsson	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksey Petrovich Aydarov	BLR	Nagano	1998	Biathlon	Biathlon Men's 20 kilometres	Bronze
Christina Wilhelmina ""Stien"" Baas-Kaiser	NED	Grenoble	1968	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
